job_name_jobs_list,company_name,job_page_link,jobs_country_jobs_list,posted_date,deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_time_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date,company_phone,active_job
HOUSE MAID,GULF LINK INTERNATIONAL,./jobs?id=6625,Uganda,"Posted : 14 Jan, 2025","Deadline : 07 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6625,HOUSE MAID,GULF LINK INTERNATIONAL,Saudi Arabia,"Jan 14, 2025 - Jan 14, 2027 ",SAR 900,Domestic Worker,We are looking to hire a hard-working and trustworthy maid to perform various cleaning duties as required by our clients.,We are looking to hire a hard-working and trustworthy maid to perform various cleaning duties as required by our clients.,"13 September, 2024",+256-759-372297,False
HOUSE MAID,HAYS GENERAL AGENCIES LTD,./jobs?id=6643,Saudi Arabia,"23 Jan, 2025 - 23 Jan, 2027","Deadline : 20 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6643,HOUSE MAID,HAYS GENERAL AGENCIES LTD,Saudi Arabia,"Jan 23, 2025 - Jan 23, 2027 ",SAR 900,Domestic Worker,HOUSEMAIDS NEEDED TO WORK IN SAUDI ARABIA,HOUSEMAIDS NEEDED TO WORK IN SAUDI ARABIA,"23 August, 2024",+256-786-421148,False
HOUSE MAID,HAYS GENERAL AGENCIES LTD,./jobs?id=6643,Uganda,"Posted : 23 Jan, 2025","Deadline : 20 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6643,HOUSE MAID,HAYS GENERAL AGENCIES LTD,Saudi Arabia,"Jan 23, 2025 - Jan 23, 2027 ",SAR 900,Domestic Worker,HOUSEMAIDS NEEDED TO WORK IN SAUDI ARABIA,HOUSEMAIDS NEEDED TO WORK IN SAUDI ARABIA,"23 August, 2024",+256-786-421148,False
HOUSE MAID,HAYS GENERAL AGENCIES LTD,./jobs?id=6705,Saudi Arabia,"06 Feb, 2025 - 06 Feb, 2027","Deadline : 06 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6705,HOUSE MAID,HAYS GENERAL AGENCIES LTD,Saudi Arabia,"Feb 06, 2025 - Feb 06, 2027 ",SAR 900,Domestic Worker,HOUSEMAIDS NEEDED TO WORK IN SAUDI ARABIA,HOUSEMAIDS NEEDED TO WORK IN SAUDI ARABIA						,"23 August, 2024",+256-786-421148,False
HOUSE MAID,HAYS GENERAL AGENCIES LTD,./jobs?id=6705,Uganda,"Posted : 06 Feb, 2025","Deadline : 06 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6705,HOUSE MAID,HAYS GENERAL AGENCIES LTD,Saudi Arabia,"Feb 06, 2025 - Feb 06, 2027 ",SAR 900,Domestic Worker,HOUSEMAIDS NEEDED TO WORK IN SAUDI ARABIA,HOUSEMAIDS NEEDED TO WORK IN SAUDI ARABIA						,"23 August, 2024",+256-786-421148,False
HOUSE MAID,HAYS GENERAL AGENCIES LTD,./jobs?id=6742,Saudi Arabia,"19 Feb, 2025 - 19 Feb, 2027","Deadline : 19 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6742,HOUSE MAID,HAYS GENERAL AGENCIES LTD,Saudi Arabia,"Feb 19, 2025 - Feb 19, 2027 ",SAR 900,Domestic Worker,	HOUSE MAIDS NEEDED TO WORK IN SAUDI ARABIA,	HOUSE MAIDS NEEDED TO WORK IN SAUDI ARABIA						,"23 August, 2024",+256-786-421148,False
HOUSE MAID,HIREON AGENCY LIMITED,./jobs?id=6052,Saudi Arabia,"08 Jul, 2024 - 08 Jul, 2026","Deadline : 24 Nov, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6052,HOUSE MAID,HIREON AGENCY LIMITED,Saudi Arabia,"Jul 08, 2024 - Jul 08, 2026 ",SAR 900,Domestic Worker,A house maid is a female servant  employed to do house work.,A house maid is a female servant  employed to do house work.						,"18 November, 2024",+256-786-702000,True
HOUSE MAID,HIREON AGENCY LIMITED,./jobs?id=6139,Saudi Arabia,"08 Jul, 2024 - 08 Jul, 2026","Deadline : 12 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6139,HOUSE MAID,HIREON AGENCY LIMITED,Saudi Arabia,"Jul 08, 2024 - Jul 08, 2026 ",SAR 900,Domestic Worker,A house maid is a female servant employed to do house work,A house maid is a female servant employed to do house work						,"18 November, 2024",+256-786-702000,False
HOUSE MAID,HIREON AGENCY LIMITED,./jobs?id=6623,Saudi Arabia,"16 Jan, 2025 - 16 Jan, 2027","Deadline : 07 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6623,HOUSE MAID,HIREON AGENCY LIMITED,Saudi Arabia,"Jan 16, 2025 - Jan 16, 2027 ",SAR 900,Domestic Worker,A house maid is a female servant employed to do house work,A house maid is a female servant employed to do house work						,"18 November, 2024",+256-786-702000,False
HOUSE MAID,INVE TRACK CONSTRUCTION AND ENGINEERING LIMITED,./jobs?id=6700,Saudi Arabia,"04 Feb, 2025 - 04 Feb, 2027","Deadline : 05 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6700,HOUSE MAID,INVE TRACK CONSTRUCTION AND ENGINEERING LIMITED,Saudi Arabia,"Feb 04, 2025 - Feb 04, 2027 ",SAR 900,Domestic Worker,"Cleaning, washing, taking care of family members .. taking and doing orders .. daily tasks, and requirements","Cleaning, washing, taking care of family members .. taking and doing orders .. daily tasks, and requirements						","23 September, 2024",+256701477008,False
HOUSE MAID,INVE TRACK CONSTRUCTION AND ENGINEERING LIMITED,./jobs?id=6700,Uganda,"Posted : 04 Feb, 2025","Deadline : 05 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6700,HOUSE MAID,INVE TRACK CONSTRUCTION AND ENGINEERING LIMITED,Saudi Arabia,"Feb 04, 2025 - Feb 04, 2027 ",SAR 900,Domestic Worker,"Cleaning, washing, taking care of family members .. taking and doing orders .. daily tasks, and requirements","Cleaning, washing, taking care of family members .. taking and doing orders .. daily tasks, and requirements						","23 September, 2024",+256701477008,False
HOUSE MAID,LABOUR FRONTIERS INTERNATIONAL LIMITED,./jobs?id=6635,Saudi Arabia,"16 Jan, 2025 - 16 Jan, 2027","Deadline : 14 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6635,HOUSE MAID,LABOUR FRONTIERS INTERNATIONAL LIMITED,Saudi Arabia,"Jan 16, 2025 - Jan 16, 2027 ",SAR 900,Domestic Worker,"Perform a wide variety of cleaning tasks, including sweeping, mopping, dusting, and polishing. Check and replace the stock of relevant supplies and equipment. Ensure that all household  standards for cleanliness are met consistently. Adhere to strict health and safety requirements.","Perform a wide variety of cleaning tasks, including sweeping, mopping, dusting, and polishing. Check and replace the stock of relevant supplies and equipment. Ensure that all household  standards for cleanliness are met consistently. Adhere to strict health and safety requirements.						","23 August, 2024",+256-758-191640,False
HOUSE MAID,LABOUR FRONTIERS INTERNATIONAL LIMITED,./jobs?id=6635,Uganda,"Posted : 16 Jan, 2025","Deadline : 14 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6635,HOUSE MAID,LABOUR FRONTIERS INTERNATIONAL LIMITED,Saudi Arabia,"Jan 16, 2025 - Jan 16, 2027 ",SAR 900,Domestic Worker,"Perform a wide variety of cleaning tasks, including sweeping, mopping, dusting, and polishing. Check and replace the stock of relevant supplies and equipment. Ensure that all household  standards for cleanliness are met consistently. Adhere to strict health and safety requirements.","Perform a wide variety of cleaning tasks, including sweeping, mopping, dusting, and polishing. Check and replace the stock of relevant supplies and equipment. Ensure that all household  standards for cleanliness are met consistently. Adhere to strict health and safety requirements.						","23 August, 2024",+256-758-191640,False
HOUSE MAID,MARPHIE INTERNATIONAL RECRUITMENT AGENCY LIMITED,./jobs?id=6794,Saudi Arabia,"12 Mar, 2025 - 12 Mar, 2027","Deadline : 09 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6794,HOUSE MAID,MARPHIE INTERNATIONAL RECRUITMENT AGENCY LIMITED,Saudi Arabia,"Mar 12, 2025 - Mar 12, 2027 ",SAR 900,Domestic Worker,"DOMESTIC SERVICE WORKER (HOUSE MAID) EXPECTED TO OFFER HOUSE HOLD SERVICESHAND IN HAND WITH OTHER FAMILY MEMBERS SUCH AS CLEANING, COOKING, HOUSEKEEPING AND BABY SITTING","DOMESTIC SERVICE WORKER (HOUSE MAID) EXPECTED TO OFFER HOUSE HOLD SERVICESHAND IN HAND WITH OTHER FAMILY MEMBERS SUCH AS CLEANING, COOKING, HOUSEKEEPING AND BABY SITTING						","08 August, 2024",+256-772-647799,True
HOUSE MAID,MARPHIE INTERNATIONAL RECRUITMENT AGENCY LIMITED,./jobs?id=6794,Uganda,"Posted : 12 Mar, 2025","Deadline : 09 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6794,HOUSE MAID,MARPHIE INTERNATIONAL RECRUITMENT AGENCY LIMITED,Saudi Arabia,"Mar 12, 2025 - Mar 12, 2027 ",SAR 900,Domestic Worker,"DOMESTIC SERVICE WORKER (HOUSE MAID) EXPECTED TO OFFER HOUSE HOLD SERVICESHAND IN HAND WITH OTHER FAMILY MEMBERS SUCH AS CLEANING, COOKING, HOUSEKEEPING AND BABY SITTING","DOMESTIC SERVICE WORKER (HOUSE MAID) EXPECTED TO OFFER HOUSE HOLD SERVICESHAND IN HAND WITH OTHER FAMILY MEMBERS SUCH AS CLEANING, COOKING, HOUSEKEEPING AND BABY SITTING						","08 August, 2024",+256-772-647799,False
HOUSE MAID,RACLE JOB CONSULTANTS LTD,./jobs?id=6750,Saudi Arabia,"21 Feb, 2025 - 21 Feb, 2027","Deadline : 21 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6750,HOUSE MAID,RACLE JOB CONSULTANTS LTD,Saudi Arabia,"Feb 21, 2025 - Feb 21, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID						,"03 January, 2025",+256-708-207730,False
HOUSE MAID,RACLE JOB CONSULTANTS LTD,./jobs?id=6750,Uganda,"Posted : 21 Feb, 2025","Deadline : 21 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6750,HOUSE MAID,RACLE JOB CONSULTANTS LTD,Saudi Arabia,"Feb 21, 2025 - Feb 21, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID						,"03 January, 2025",+256-708-207730,False
HOUSE MAID,SPIN LABOUR CONSULTANTS LIMITED,./jobs?id=6765,Saudi Arabia,"26 Feb, 2025 - 26 Feb, 2027","Deadline : 22 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6765,HOUSE MAID,SPIN LABOUR CONSULTANTS LIMITED,Saudi Arabia,"Feb 26, 2025 - Feb 26, 2027 ",SAR 900,Domestic Worker,HOUSEMAIDS,HOUSEMAIDS,"18 November, 2024",+256-702-222288,False
HOUSE MAID,SPIN LABOUR CONSULTANTS LIMITED,./jobs?id=6765,Uganda,"Posted : 26 Feb, 2025","Deadline : 22 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6765,HOUSE MAID,SPIN LABOUR CONSULTANTS LIMITED,Saudi Arabia,"Feb 26, 2025 - Feb 26, 2027 ",SAR 900,Domestic Worker,HOUSEMAIDS,HOUSEMAIDS,"18 November, 2024",+256-702-222288,False
HOUSE MAID,SWIFT INTERNATIONAL RECRUITERS LIMITED,./jobs?id=6454,Saudi Arabia,"10 Sep, 2024 - 10 Sep, 2026","Deadline : 01 Sep, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6454,HOUSE MAID,SWIFT INTERNATIONAL RECRUITERS LIMITED,Saudi Arabia,"Sep 10, 2024 - Sep 10, 2026 ",SAR 900,Domestic Worker,"Overview: Domestic workers to help in housework like cleaning, washing and doing other housework like cooking and helping family members","Overview: Domestic workers to help in housework like cleaning, washing and doing other housework like cooking and helping family members						","31 May, 2024",+256-392-174783,True
HOUSE MAID,T & N MIRACLE AGENCIES LTD,./jobs?id=6669,Saudi Arabia,"30 Jan, 2025 - 30 Jan, 2027","Deadline : 27 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6669,HOUSE MAID,T & N MIRACLE AGENCIES LTD,Saudi Arabia,"Jan 30, 2025 - Jan 30, 2027 ",SAR 900,Domestic Worker,"A maid completes tasks related to the cleaning of their clients' homes . They take out the trash, vacuum carpets, polish floors, and wipe down dirty surfaces. Maids also tidy up around the space and disinfect things like bathroom sinks and toilet bowls, among other tasks.","A maid completes tasks related to the cleaning of their clients' homes . They take out the trash, vacuum carpets, polish floors, and wipe down dirty surfaces. Maids also tidy up around the space and disinfect things like bathroom sinks and toilet bowls, among other tasks.						","18 July, 2024",+256-752-896624,False
HOUSE MAID,T & N MIRACLE AGENCIES LTD,./jobs?id=6669,Uganda,"Posted : 30 Jan, 2025","Deadline : 27 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6669,HOUSE MAID,T & N MIRACLE AGENCIES LTD,Saudi Arabia,"Jan 30, 2025 - Jan 30, 2027 ",SAR 900,Domestic Worker,"A maid completes tasks related to the cleaning of their clients' homes . They take out the trash, vacuum carpets, polish floors, and wipe down dirty surfaces. Maids also tidy up around the space and disinfect things like bathroom sinks and toilet bowls, among other tasks.","A maid completes tasks related to the cleaning of their clients' homes . They take out the trash, vacuum carpets, polish floors, and wipe down dirty surfaces. Maids also tidy up around the space and disinfect things like bathroom sinks and toilet bowls, among other tasks.						","18 July, 2024",+256-752-896624,False
HOUSE MAID,TEMPCRO INTERNATIONAL LIMITED,./jobs?id=6781,Saudi Arabia,"03 Mar, 2025 - 03 Mar, 2027","Deadline : 29 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6781,HOUSE MAID,TEMPCRO INTERNATIONAL LIMITED,Saudi Arabia,"Mar 03, 2025 - Mar 03, 2027 ",SAR 900,Domestic Worker,1. Must be 21 t0 40 years of age ,1. Must be 21 t0 40 years of age ,"29 December, 2024",+256-775-911091,False
HOUSE MAID,TEMPCRO INTERNATIONAL LIMITED,./jobs?id=6781,Uganda,"Posted : 03 Mar, 2025","Deadline : 29 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6781,HOUSE MAID,TEMPCRO INTERNATIONAL LIMITED,Saudi Arabia,"Mar 03, 2025 - Mar 03, 2027 ",SAR 900,Domestic Worker,1. Must be 21 t0 40 years of age ,1. Must be 21 t0 40 years of age ,"29 December, 2024",+256-775-911091,False
HOUSE MAID,VAXIN KT GROUP LIMITED,./jobs?id=6795,Saudi Arabia,"26 Mar, 2025 - 26 Mar, 2027","Deadline : 11 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6795,HOUSE MAID,Vaxin KT Group limited,Saudi Arabia,"Mar 26, 2025 - Mar 26, 2027 ",SAR 900,Domestic Worker,the job is to work as a housemaid for Saudi Employers to clean and arrange homes. they must be trained well in Uganda,the job is to work as a housemaid for Saudi Employers to clean and arrange homes. they must be trained well in Uganda,"18 November, 2024",+256-704-902796,True
HOUSE MAID,WAMBAH HOLDINGS LTD,./jobs?id=6585,Saudi Arabia,"20 Dec, 2024 - 20 Dec, 2026","Deadline : 08 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6585,HOUSE MAID,WAMBAH HOLDINGS LTD,Saudi Arabia,"Dec 20, 2024 - Dec 20, 2026 ",SAR 900,Domestic Worker,house hold works like cleaning houses washing iron clothes sweeping applicants,house hold works like cleaning houses washing iron clothes sweeping applicants,"08 August, 2024",+256-705-617682,False
HOUSE MAIDS,INFINITY RECRUITMENT AGENCY LTD,./jobs?id=6633,Saudi Arabia,"17 Jan, 2025 - 17 Jan, 2027","Deadline : 14 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6633,HOUSE MAIDS,INFINITY RECRUITMENT AGENCY LTD,Saudi Arabia,"Jan 17, 2025 - Jan 17, 2027 ",SAR 900,Domestic Worker,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,"02 February, 2024",+256-751-403557,False
HOUSE MAIDS,INFINITY RECRUITMENT AGENCY LTD,./jobs?id=6633,Uganda,"Posted : 17 Jan, 2025","Deadline : 14 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6633,HOUSE MAIDS,INFINITY RECRUITMENT AGENCY LTD,Saudi Arabia,"Jan 17, 2025 - Jan 17, 2027 ",SAR 900,Domestic Worker,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,"02 February, 2024",+256-751-403557,False
HOUSE MAIDS,INTERNATIONAL EMPLOYMENT LINKAGES (U) LTD,./jobs?id=6642,Saudi Arabia,"22 Jan, 2025 - 22 Jan, 2027","Deadline : 20 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6642,HOUSE MAIDS,INTERNATIONAL EMPLOYMENT LINKAGES (U) LTD,Saudi Arabia,"Jan 22, 2025 - Jan 22, 2027 ",SAR 900,Domestic Worker,Washing kitchen dishes,Washing kitchen dishes,"28 February, 2024",+256-414-581258,False
HOUSE MAIDS,INTERNATIONAL EMPLOYMENT LINKAGES (U) LTD,./jobs?id=6642,Uganda,"Posted : 22 Jan, 2025","Deadline : 20 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6642,HOUSE MAIDS,INTERNATIONAL EMPLOYMENT LINKAGES (U) LTD,Saudi Arabia,"Jan 22, 2025 - Jan 22, 2027 ",SAR 900,Domestic Worker,Washing kitchen dishes,Washing kitchen dishes,"28 February, 2024",+256-414-581258,False
HOUSE MAIDS,JABEZ CONSULTANTS LIMITED,./jobs?id=6706,Saudi Arabia,"18 Feb, 2025 - 18 Feb, 2027","Deadline : 01 Dec, 2027",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6706,HOUSE MAIDS,JABEZ CONSULTANTS LIMITED,Saudi Arabia,"Feb 18, 2025 - Feb 18, 2027 ",SAR 900,Domestic Worker,We are looking for HOUSEMAIDS with proven working experience,We are looking for HOUSEMAIDS with proven working experience,"08 August, 2024",+256-772-389100,True
HOUSE MAIDS,OZAZ RECRUITMENT SERVICES UGANDA LIMITED,./jobs?id=6631,Saudi Arabia,"17 Jan, 2025 - 17 Jan, 2027","Deadline : 14 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6631,HOUSE MAIDS,OZAZ RECRUITMENT SERVICES UGANDA LIMITED,Saudi Arabia,"Jan 17, 2025 - Jan 17, 2027 ",SAR 900,Domestic Worker,"The job carried out by the migrant workers in the kingdom of Saudi Arabia assigned in this category is basically house cores, taking care of children, taking care of elderly people or handicapped if available for the period of two years on a salary of 900 Saudi riyals .","The job carried out by the migrant workers in the kingdom of Saudi Arabia assigned in this category is basically house cores, taking care of children, taking care of elderly people or handicapped if available for the period of two years on a salary of 900 Saudi riyals .						","21 February, 2023",+256-700-265062,False
HOUSE MAIDS,OZAZ RECRUITMENT SERVICES UGANDA LIMITED,./jobs?id=6631,Uganda,"Posted : 17 Jan, 2025","Deadline : 14 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6631,HOUSE MAIDS,OZAZ RECRUITMENT SERVICES UGANDA LIMITED,Saudi Arabia,"Jan 17, 2025 - Jan 17, 2027 ",SAR 900,Domestic Worker,"The job carried out by the migrant workers in the kingdom of Saudi Arabia assigned in this category is basically house cores, taking care of children, taking care of elderly people or handicapped if available for the period of two years on a salary of 900 Saudi riyals .","The job carried out by the migrant workers in the kingdom of Saudi Arabia assigned in this category is basically house cores, taking care of children, taking care of elderly people or handicapped if available for the period of two years on a salary of 900 Saudi riyals .						","21 February, 2023",+256-700-265062,False
HOUSE MAIDS,PEAK LABOUR GIANTS LIMITED,./jobs?id=6621,Saudi Arabia,"10 Jan, 2025 - 10 Jan, 2027","Deadline : 07 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6621,HOUSE MAIDS,Peak Labour Giants Limited,Saudi Arabia,"Jan 10, 2025 - Jan 10, 2027 ",SAR 900,Domestic Worker,"DOMESTIC SERVICE WORKER(HOUSE MAID) EXPECTED TO OFFER HOUSEHOLD SERVICES HAND IN HAND WITH OTHER FAMILY MEMBERS SUCH AS CLEANING, COOKING,HOUSE KEEPING AND BABY SITTING","DOMESTIC SERVICE WORKER(HOUSE MAID) EXPECTED TO OFFER HOUSEHOLD SERVICES HAND IN HAND WITH OTHER FAMILY MEMBERS SUCH AS CLEANING, COOKING,HOUSE KEEPING AND BABY SITTING						","17 May, 2024",+256-701-588214,False
HOUSE MAIDS,PEAK LABOUR GIANTS LIMITED,./jobs?id=6621,Uganda,"Posted : 10 Jan, 2025","Deadline : 07 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6621,HOUSE MAIDS,Peak Labour Giants Limited,Saudi Arabia,"Jan 10, 2025 - Jan 10, 2027 ",SAR 900,Domestic Worker,"DOMESTIC SERVICE WORKER(HOUSE MAID) EXPECTED TO OFFER HOUSEHOLD SERVICES HAND IN HAND WITH OTHER FAMILY MEMBERS SUCH AS CLEANING, COOKING,HOUSE KEEPING AND BABY SITTING","DOMESTIC SERVICE WORKER(HOUSE MAID) EXPECTED TO OFFER HOUSEHOLD SERVICES HAND IN HAND WITH OTHER FAMILY MEMBERS SUCH AS CLEANING, COOKING,HOUSE KEEPING AND BABY SITTING						","17 May, 2024",+256-701-588214,False
HOUSE MAIDS,STREPA INTERNATIONAL SERVICES LIMITED,./jobs?id=6728,Saudi Arabia,"12 Feb, 2025 - 12 Feb, 2027","Deadline : 12 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6728,HOUSE MAIDS,STREPA INTERNATIONAL SERVICES LIMITED,Saudi Arabia,"Feb 12, 2025 - Feb 12, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID,"31 July, 2023",+256-772-520685,False
HOUSE MAIDS,STREPA INTERNATIONAL SERVICES LIMITED,./jobs?id=6728,Uganda,"Posted : 12 Feb, 2025","Deadline : 12 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6728,HOUSE MAIDS,STREPA INTERNATIONAL SERVICES LIMITED,Saudi Arabia,"Feb 12, 2025 - Feb 12, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID,"31 July, 2023",+256-772-520685,False
HOUSE NURSE (FEMALE),INFINITY RECRUITMENT AGENCY LTD,./jobs?id=6786,Saudi Arabia,"10 Mar, 2025 - 10 Mar, 2027","Deadline : 04 Apr, 2025",SAR 1500,https://eemis.mglsd.go.ug/jobs?id=6786,HOUSE NURSE (FEMALE),INFINITY RECRUITMENT AGENCY LTD,Saudi Arabia,"Mar 10, 2025 - Mar 10, 2027 ",SAR 1500,Domestic Worker,We are hiring capable personnel to work as Home care Nurses in Saudi Arabia for a contract period of 2 years,We are hiring capable personnel to work as Home care Nurses in Saudi Arabia for a contract period of 2 years						,"02 February, 2024",+256-751-403557,False
HOUSE NURSE (FEMALE),INFINITY RECRUITMENT AGENCY LTD,./jobs?id=6786,Uganda,"Posted : 10 Mar, 2025","Deadline : 04 Apr, 2025",SAR 1500,https://eemis.mglsd.go.ug/jobs?id=6786,HOUSE NURSE (FEMALE),INFINITY RECRUITMENT AGENCY LTD,Saudi Arabia,"Mar 10, 2025 - Mar 10, 2027 ",SAR 1500,Domestic Worker,We are hiring capable personnel to work as Home care Nurses in Saudi Arabia for a contract period of 2 years,We are hiring capable personnel to work as Home care Nurses in Saudi Arabia for a contract period of 2 years						,"02 February, 2024",+256-751-403557,False
HOUSEMADE,SERENE RECRUITMENT LTD,./jobs?id=6657,Saudi Arabia,"29 Jan, 2025 - 29 Jan, 2027","Deadline : 22 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6657,HOUSEMADE,SERENE RECRUITMENT LTD,Saudi Arabia,"Jan 29, 2025 - Jan 29, 2027 ",SAR 900,Domestic Worker,Domestic worker must dusting cleaning all the house doing laundry and ironing helping with the kids,Domestic worker must dusting cleaning all the house doing laundry and ironing helping with the kids						,"26 June, 2024",+256-707-555004,False
HOUSEMADE,SERENE RECRUITMENT LTD,./jobs?id=6657,Uganda,"Posted : 29 Jan, 2025","Deadline : 22 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6657,HOUSEMADE,SERENE RECRUITMENT LTD,Saudi Arabia,"Jan 29, 2025 - Jan 29, 2027 ",SAR 900,Domestic Worker,Domestic worker must dusting cleaning all the house doing laundry and ironing helping with the kids,Domestic worker must dusting cleaning all the house doing laundry and ironing helping with the kids						,"26 June, 2024",+256-707-555004,False
HOUSEMAID,ABYAN INTERNATIONAL (U) LTD,./jobs?id=6645,Saudi Arabia,"30 Jan, 2025 - 30 Jan, 2027","Deadline : 20 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6645,HOUSEMAID,ABYAN INTERNATIONAL (U) LTD,Saudi Arabia,"Jan 30, 2025 - Jan 30, 2027 ",SAR 900,Domestic Worker,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,"31 May, 2024",0709468979,False
HOUSEMAID,ALKA SECURITAS UGANDA LIMITED,./jobs?id=6732,Saudi Arabia,"18 Feb, 2025 - 18 Feb, 2027","Deadline : 13 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6732,HOUSEMAID,ALKA SECURITAS UGANDA LIMITED,Saudi Arabia,"Feb 18, 2025 - Feb 18, 2027 ",SAR 900,Domestic Worker,gemat alekhtier recruitment agency and ALKA SECURITUS recruitment agency we work by under the rule for Saudi Arabia and Ugandan Government.,gemat alekhtier recruitment agency and ALKA SECURITUS recruitment agency we work by under the rule for Saudi Arabia and Ugandan Government.						,"28 February, 2024",+256-700-388608,False
HOUSEMAID,ALKA SECURITAS UGANDA LIMITED,./jobs?id=6732,Uganda,"Posted : 18 Feb, 2025","Deadline : 13 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6732,HOUSEMAID,ALKA SECURITAS UGANDA LIMITED,Saudi Arabia,"Feb 18, 2025 - Feb 18, 2027 ",SAR 900,Domestic Worker,gemat alekhtier recruitment agency and ALKA SECURITUS recruitment agency we work by under the rule for Saudi Arabia and Ugandan Government.,gemat alekhtier recruitment agency and ALKA SECURITUS recruitment agency we work by under the rule for Saudi Arabia and Ugandan Government.						,"28 February, 2024",+256-700-388608,False
HOUSEMAID,ALKAREB LIMITED,./jobs?id=6822,Uganda,"Posted : 02 Apr, 2025","Deadline : 23 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6822,HOUSEMAID,ALKAREB LIMITED,Saudi Arabia,"Apr 02, 2025 - Apr 02, 2027 ",SAR 900,Domestic Worker,"The first party is committed to select suitable domestic workers, who have not had a final exit from the country of the second party because of previous criminal reason, refusing work, escaping or failure to abide with the contract terms for 24 months.","The first party is committed to select suitable domestic workers, who have not had a final exit from the country of the second party because of previous criminal reason, refusing work, escaping or failure to abide with the contract terms for 24 months.","13 January, 2025",+256-782-707711,True
