company_name,company_url_eemis,company_location_companies_page,company_country_companies_page,company_phone_companies_page,company_calendar,logo_link,license_no,start_date_company_page_DDMMYYYY,expiry_date_company_page_DDMMYYYY,company_address_company_page,company_country_company_page,company_phone_company_page,company_email_company_page,active_company,job_name_jobs_list,job_page_link,jobs_country_jobs_list,job_posted_date,job_deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date_MMDDYYYY,company_phone_jobs_page,company_address_country_job_page,active_job,job_start_date_MMDDYYYY,job_end_date_MMDDYYYY,job_salary_currency_job_page,usd_conversion,job_salary_amount_job_page,latitude_company_location_companies_page,longitude_company_location_companies_page,city_company_location_companies_page,country_company_location_companies_page,latitude_company_location_company_page,longitude_company_location_company_page,city_company_location_company_page,country_company_location_company_page,latitude_map,longitude_map,job_length_days,job_length_years
CLEANCO CLEANING SERVICES & BUILDING MAINTENANCE,https://eemis.mglsd.go.ug/companies/CLEANCOCLEANINGSERVICESampBUILDINGMAINTENANCE_32601366,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+256-782-584094,"Oct 21, 2024 - Oct 21, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2331_1728554203.png,AE24100008,21/10/2024,21/10/2026,"Dubayy, United Arab Emirates ",United Arab Emirates , +256-782-584094 , cleanco.cleaning85@gmail.com ,True,,,,,,,,,,,,,,,,,United Arab Emirates,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,25.2048493,55.2707828,Dubai,United Arab Emirates,24.7169626,46.7115929,,
COJECTIVE INVESTMENT LIMITED,https://eemis.mglsd.go.ug/companies/COJECTIVEINVESTMENTLIMITED_735000,WAKALIGA MENGO POKINO ROAD,,+256-200-901132,"14 Mar, 2024 - 13 Mar, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_350_1703845930.jpg,E24030005,14/3/2024,13/3/2026,"Kampala, Uganda ",Uganda , +256-200-901132 , cojinvestment@gmail.com ,True,HOUSEMAID,./jobs?id=6617,Uganda,"Posted : 07 Jan, 2025","Deadline : 02 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6617,housemaid,COJECTIVE INVESTMENT LIMITED,Saudi Arabia,SAR 900,Domestic Worker,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,14/3/2024,+256-200-901132,Uganda,True,2025-01-07,2027-01-07,SAR,240.0,900.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,730.0,2.0
COMPASS CATERING SERVICES WLL,https://eemis.mglsd.go.ug/companies/COMPASSCATERINGSERVICESWLL_10773600,compass catering qatar,,+097-455-401814,"11 Jul, 2024 - 11 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1340_1720415169.jpg,QA24070006,11/7/2024,11/7/2026,"Doha, Qatar ",Qatar , +097-455-401814 , RECRUITMENT@COMPASSQATAR.COM.QA ,True,,,,,,,,,,,,,,,,,Qatar,False,,,,0.0,0.0,25.2771164,51.5085141,فريج النصر 39,Qatar,25.2854473,51.53103979999999,Doha,Qatar,25.2771164,51.5085141,,
CREATIVE GROUP INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/CREATIVEGROUPINTERNATIONALLTD_591576,"Plot 1712 Sentema Road, Kampala",Kampala,+256-200-923265,"26 Apr, 2023 - 25 Apr, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_314_1678963928.jpg,E23040018,26/4/2023,25/4/2025,"KAMPALA UGANDA, Kampala, Uganda ",Uganda , +256-200-923265 , kampalacreative@gmail.com ,True,Civil And Mep Labors,./jobs?id=6626,Uganda,"Posted : 13 Jan, 2025","Deadline : 08 Feb, 2025",AED 1500,https://eemis.mglsd.go.ug/jobs?id=6626,civil and mep labors,CREATIVE GROUP INTERNATIONAL LTD,United Arab Emirates,AED 1500,Engineering/Mechanics/Construction,*Looking for: Civil Helper (Labor)*  ,*Looking for: Civil Helper (Labor)*  ,26/4/2023,+256-200-923265,Uganda,True,2025-01-13,2027-01-13,AED,408.44,1500.0,0.3154073,32.5535889,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3154073,32.5535889,730.0,2.0
CRISIS RESOLUTION RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/crisisresolutionrecruitmentagencyLtd_1370904,Nsambya,,+256-704-224111,"22 May, 2024 - 21 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_478_1645976331.jpg,E24050015,22/5/2024,21/5/2026,"Kampala, Uganda ",Uganda , +256-704-224111 , crisisrecruitmentagency@gmail.com ,False,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.294004,32.591001,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.294004,32.591001,,
CRISIS RESOLUTION RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/crisisresolutionrecruitmentagencyLtd_1370904,Nsambya,,+256-704-224111,"22 May, 2024 - 21 May, 2026",,,,,,,,,True,,,,,,,,,,,,,,,,,,False,,,,0.0,0.0,0.294004,32.591001,Kampala,Uganda,,,,,0.294004,32.591001,,
CRYSTAL JOBMARTS COMPANY LTD,https://eemis.mglsd.go.ug/companies/CRYSTALJOBMARTSCOMPANYLTD_12580224,"PLOT 1085, SEBOWA ROAD, SEBOWA ZONE, KIWATULE",KIWATULE,+256-704-697917,"04 Nov, 2024 - 03 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1448_1652115071.jpg,E24110006,04/11/2024,03/11/2026,"Kampala, Uganda ",Uganda , +256-704-697917 , crystaljobmartscoltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.360246,32.6245613,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.360246,32.6245613,,
CSX GROUP LTD,https://eemis.mglsd.go.ug/companies/CSXGROUPLTD_262086,"PLOT 302, Block 10, Mengo Kyadondo",Mengo Kyadondo,+256-740-401111,"22 May, 2024 - 21 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_209_1707908859.jpg,E24050018,22/5/2024,21/5/2026,"Kampala, Uganda ",Uganda , +256-740-401111 , csxrecruitmentgroup@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.4350179,32.593828,Central Region,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.4350179,32.593828,,
CV RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/cvrecruitmentoffice_30537216,"Al Nahdah, Riyadh , Saudi Arabia",Saudi Arabia,+966-533-612666,"07 Jun, 2024 - 07 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2256_1717501666.jpg,SA24060004,07/6/2024,07/6/2026,"Riyadh, Saudi Arabia ",Saudi Arabia , +966-533-612666 , cv1050771@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7599683,46.8126185,Riyadh Principality,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7599683,46.8126185,,
DAHAB RECRUITMENT EXPERTS LTD,https://eemis.mglsd.go.ug/companies/DAHABRECRUITMENTEXPERTSLTD_7154784,0753577470,,+256-753-577470,"20 Jan, 2023 - 19 Jan, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1092_1665054913.jpeg,E23010012,20/1/2023,19/1/2025,"Kampala, Uganda ",Uganda , +256-753-577470 , recruitmentdahab@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
DALEEL ASIA RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/DALEELASIARECRUITMENTOFFICE_31492086,https://maps.app.goo.gl/2wnqcVrWNWTenKcQ9?g_st=iwb,,+966-548-344422,"03 Sep, 2024 - 02 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2291_1720511959.jpg,SA24090008,03/9/2024,02/9/2026,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-548-344422 , info@daro.com.sa ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,,,,,23.5681347,50.6793759,,Saudi Arabia,23.5681347,50.6793759,,
DAR ALNOKBA RECRUITMENT OOFICE,https://eemis.mglsd.go.ug/companies/DARALNOKBARECRUITMENTOOFICE_31519584,https://maps.app.goo.gl/2wnqcVrWNWTenKcQ9?g_st=iwb,,+966-559-843400,"05 Sep, 2024 - 04 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2292_1720516790.jpg,SA24090012,05/9/2024,04/9/2026,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-559-843400 , dar.alnokba@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,,,,,23.5681347,50.6793759,,Saudi Arabia,23.5681347,50.6793759,,
DBB CONTRACTING LLC,https://eemis.mglsd.go.ug/companies/DBBCONTRACTINGLLC_29410776,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+971-558-766408,"19 Feb, 2024 - 19 Feb, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2214_1707289521.jpg,AE24020012,19/2/2024,19/2/2026,"Dubayy, United Arab Emirates ",United Arab Emirates , +971-558-766408 , emigrate.dca@dbb.ae ,True,,,,,,,,,,,,,,,,,United Arab Emirates,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,25.2048493,55.2707828,Dubai,United Arab Emirates,24.7169626,46.7115929,,
DERM LOGISTICS UG LTD,https://eemis.mglsd.go.ug/companies/DERMLOGISTICSUGLTD_269664,"GGABA ROAD, KANSANGA",KANSANGA,+256-772-403006,"17 May, 2024 - 16 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_212_1569921609.jpg,E24050012,17/5/2024,16/5/2026,"Kampala, Uganda ",Uganda , +256-772-403006 , dermlogistics.ltd@gmail.com ,True,HOUSEMAID,./jobs?id=6611,Saudi Arabia,"02 Jan, 2025 - 02 Jan, 2027","Deadline : 31 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6611,housemaid,DERM LOGISTICS UG LTD,Saudi Arabia,SAR 900,Domestic Worker,"This Job exists to assist households in carrying out domestic work such as general cleaning, cooking, babysitting, ironing, washing, elderly care disabled care, and any other assigned duties within the confines of the home.","This Job exists to assist households in carrying out domestic work such as general cleaning, cooking, babysitting, ironing, washing, elderly care disabled care, and any other assigned duties within the confines of the home.						",17/5/2024,+256-772-403006,Uganda,True,2025-01-02,2027-01-02,SAR,240.0,900.0,0.285693,32.6080475,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.285693,32.6080475,730.0,2.0
DERM LOGISTICS UG LTD,https://eemis.mglsd.go.ug/companies/DERMLOGISTICSUGLTD_269664,"GGABA ROAD, KANSANGA",KANSANGA,+256-772-403006,"17 May, 2024 - 16 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_212_1569921609.jpg,E24050012,17/5/2024,16/5/2026,"Kampala, Uganda ",Uganda , +256-772-403006 , dermlogistics.ltd@gmail.com ,True,HOUSEMAID,./jobs?id=6611,Uganda,"Posted : 02 Jan, 2025","Deadline : 31 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6611,housemaid,DERM LOGISTICS UG LTD,Saudi Arabia,SAR 900,Domestic Worker,"This Job exists to assist households in carrying out domestic work such as general cleaning, cooking, babysitting, ironing, washing, elderly care disabled care, and any other assigned duties within the confines of the home.","This Job exists to assist households in carrying out domestic work such as general cleaning, cooking, babysitting, ironing, washing, elderly care disabled care, and any other assigned duties within the confines of the home.						",17/5/2024,+256-772-403006,Uganda,False,2025-01-02,2027-01-02,SAR,240.0,900.0,0.285693,32.6080475,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.285693,32.6080475,730.0,2.0
DIAMOND ROSES  LTD,https://eemis.mglsd.go.ug/companies/DIAMONDROSESLTD_764694,"BIVAMUNTUUYO HOUSE, MPERERWE  GAYAZA ROAD",MPERERWE  GAYAZA ROAD,+256-773-842613,"11 Dec, 2024 - 10 Dec, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_357_1595940522.jpg,E24120011,11/12/2024,10/12/2026,"Kampala, Uganda ",Uganda , +256-773-842613 , diamondroseint@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3820272,32.5769941,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3820272,32.5769941,,
DIGITAL ENERGY ARABIA CONTRACTING COMPANY,https://eemis.mglsd.go.ug/companies/DigitalEnergyArabiaContractingCompany_30159384,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-013-729777,"14 May, 2024 - 14 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2242_1713614362.jpeg,SA24050009,14/5/2024,14/5/2026,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-013-729777 , info@digitalenergy.sa ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,23.5681347,50.6793759,,Saudi Arabia,24.7169626,46.7115929,,
DILIGENT OVERSEAS RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/DILIGENTOVERSEASRECRUITMENTAGENCYLTD_5738904,105431 kampala,,+256700328938,"06 Dec, 2024 - 05 Dec, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_978_1727378490.jpeg,E24120006,06/12/2024,05/12/2026,"Wakiso, Uganda ",Uganda , +256700328938 , overseasd9@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3151692,32.5816313,Central Region,Uganda,0.398281,32.4797444,Wakiso,Uganda,0.3151692,32.5816313,,
DIPLOMATIC SERVICE RECRUITMENT,https://eemis.mglsd.go.ug/companies/DIPLOMATICSERVICERECRUITMENT_30213216,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-570-850570,"22 May, 2024 - 22 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2244_1713703364.jpg,SA24050021,22/5/2024,22/5/2026,"Makkah, Saudi Arabia ",Saudi Arabia , +966-570-850570 , ayman@aldoplumasyah.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,21.4240968,39.81733639999999,Makkah,Saudi Arabia,24.7169626,46.7115929,,
DON-MO CONTRACTORS LTD,https://eemis.mglsd.go.ug/companies/DON-MOCONTRACTORSLTD_1723776,PLOT 1725 BLOCK 223  NAMASOLE ROAD NABWOJJO,,+256-393-254192,"18 Jul, 2024 - 17 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_536_1648633497.jpg,E24070011,18/7/2024,17/7/2026,"Wakiso, Uganda ",Uganda , +256-393-254192 , donmocontractors@gmail.com ,True,HOUSEMAID,./jobs?id=6602,Saudi Arabia,"07 Jan, 2025 - 07 Jan, 2027","Deadline : 11 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6602,housemaid,DON-MO CONTRACTORS LTD,Saudi Arabia,SAR 900,Domestic Worker,Domestic service worker ( house maid ) expected to offer house hold services hand in hand with other family members such as cleaning cooking house keeping and baby sitting.,Domestic service worker ( house maid ) expected to offer house hold services hand in hand with other family members such as cleaning cooking house keeping and baby sitting.						,18/7/2024,+256-393-254192,Uganda,False,2025-01-07,2027-01-07,SAR,240.0,900.0,0.2894817,32.5843871,Namasole Road,Uganda,0.398281,32.4797444,Wakiso,Uganda,0.2894817,32.5843871,730.0,2.0
DOUBLE JOY GENERAL AGENCIES LIMITED,https://eemis.mglsd.go.ug/companies/DOUBLEJOYGENERALAGENCIESLIMITED_1647456,BUZIGA KAMPALA,,+256-777-703832,"26 Feb, 2023 - 25 Feb, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_524_1658124730.jpeg,E23020022,26/2/2023,25/2/2025,"Kampala, Uganda ",Uganda , +256-777-703832 , geffmugisha27@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2690054,32.6164445,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2690054,32.6164445,,
DOXA CONNECTIONS LIMITED,https://eemis.mglsd.go.ug/companies/DOXACONNECTIONSLIMITED_18816,"CECILLIA ROAD,MUTUNGO ZONE ZONE II",MUTUNGO ZONE ZONE II,+256-778-906540,"23 Aug, 2024 - 22 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_56_1717159603.jpg,E24080037,23/8/2024,22/8/2026,"Uganda, Kampala, Uganda ",Uganda , +256-778-906540 , vitabwpa@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3157488,32.6488424,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3157488,32.6488424,,
DREAM CONNECT LIMITED,https://eemis.mglsd.go.ug/companies/DREAMCONNECTLIMITED_133206,"PLOT 4283, KIBAZO ROAD KIBULI",KIBAZO ROAD KIBULI,+256-702-281775,"23 Aug, 2024 - 22 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_149_1656591004.jpg,E24080032,23/8/2024,22/8/2026,"Kampala, Uganda ",Uganda , +256-702-281775 , dreamconnect256@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3082825,32.6011937,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3082825,32.6011937,,
DUKHUL RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/DukhulRecruitmentOffice_29837400,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-172-206995,"09 May, 2024 - 09 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2230_1709627858.jpg,SA24050002,09/5/2024,09/5/2026,"Asir, Saudi Arabia ",Saudi Arabia , +966-172-206995 , dukhul2030@gmail.com ,True,,,,,,,,,,,,,,,,,,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,19.0969062,42.8637875,,Saudi Arabia,24.7169626,46.7115929,,
DULSCO RECRUITMENT SERVICE LLC,https://eemis.mglsd.go.ug/companies/DULSCORECRUITMENTSERVICELLC_32183136,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+971-506-578176,"18 Oct, 2024 - 18 Oct, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2316_1727767463.jpg,AE24100007,18/10/2024,18/10/2026,"Dubayy, United Arab Emirates ",United Arab Emirates , +971-506-578176 , faron.xavier@dulsco.com ,True,,,,,,,,,,,,,,,,,United Arab Emirates,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,25.2048493,55.2707828,Dubai,United Arab Emirates,24.7169626,46.7115929,,
DULSCO RECRUITMENT SERVICE LLC,https://eemis.mglsd.go.ug/companies/DULSCORECRUITMENTSERVICELLC_32183136,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+971-506-578176,"Oct 18, 2024 - Oct 18, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2316_1727767463.jpg,AE24100007,18/10/2024,18/10/2026,"Dubayy, United Arab Emirates ",United Arab Emirates , +971-506-578176 , faron.xavier@dulsco.com ,False,,,,,,,,,,,,,,,,,United Arab Emirates,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,25.2048493,55.2707828,Dubai,United Arab Emirates,24.7169626,46.7115929,,
EASTERN AMBASSADORS,https://eemis.mglsd.go.ug/companies/EASTERNAMBASSADORS_22326246,"AL KHOBAR AL SHAMALIA , AL AMIR FAISAL IBN FAHAD ROAD",AL AMIR FAISAL IBN FAHAD ROAD,+966-546-616222,"18 Jul, 2023 - 18 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1929_1667845433.jpg,SA1043,18/7/2023,18/7/2025,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-546-616222 , ea_rec@hotmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,26.2804858,50.2080031,Al Khobar,Saudi Arabia,23.5681347,50.6793759,,Saudi Arabia,26.2804858,50.2080031,,
EASTERN ASIAN RECRUITMENT COMPANY,https://eemis.mglsd.go.ug/companies/EasternAsianRecruitmentCompany_27554694,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-546-838069,"17 Jan, 2024 - 17 Jan, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2143_1701099017.jpg,SA24010013,17/1/2024,17/1/2026,"Eastern Province, Saudi Arabia ",Saudi Arabia , +966-546-838069 , HR@asian-alshark.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,23.5681347,50.6793759,,Saudi Arabia,24.7169626,46.7115929,,
EBBO TIGERS SECURITY SERVICES LIMITED,https://eemis.mglsd.go.ug/companies/EBBOTIGERSSECURITYSERVICESLIMITED_434166,"P.O. BOX 300010, NAMIREMBE, KIBUGA , MENGO, KAMPALA PLOT 371",KAMPALA PLOT 371,+256-756-239920,"10 Aug, 2023 - 09 Aug, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_269_1625212985.jpg,E23080005,10/8/2023,09/8/2025,"Kampala, Uganda ",Uganda , +256-756-239920 , ebbotigersc@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3169106,32.5613133,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3169106,32.5613133,,
EBENEZER RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/EBENEZERRECRUITMENTAGENCYLTD_921984,"MPERERWE, NAMERE",NAMERE,+256756416979,"16 Aug, 2024 - 15 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_392_1653296000.jpg,E24080020,16/8/2024,15/8/2026,"Kampala, Uganda ",Uganda , +256756416979 , ebenezerrecruitmentagltd@gmail.com ,False,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3833116,32.5765657,Kawempe Division,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3833116,32.5765657,,
EBENEZER RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/EBENEZERRECRUITMENTAGENCYLTD_921984,"MPERERWE, NAMERE",NAMERE,+256756416979,"16 Aug, 2024 - 15 Aug, 2026",,,,,,,,,True,,,,,,,,,,,,,,,,,,False,,,,0.0,0.0,0.3833116,32.5765657,Kawempe Division,Uganda,,,,,0.3833116,32.5765657,,
EBTESAM ALMUTAIRI RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/EbtesamAlmutairiRecruitmentOffice_28019526,"Riyadh Al Nahda , Saudi Arabia",Saudi Arabia,+966-551-941019,"06 Mar, 2024 - 06 Mar, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2161_1709557937.jpg,SA24030001,06/3/2024,06/3/2026,"Ar Riyad, Saudi Arabia ",Saudi Arabia , +966-551-941019 , mom970@hotmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7599683,46.8126185,Riyadh Principality,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7599683,46.8126185,,
EFADAH RECRUITMENT (U) LIMITED,https://eemis.mglsd.go.ug/companies/EFADAHRECRUITMENTULIMITED_1641174,40250 KLA,,+256-700-573317,"20 Jan, 2023 - 19 Jan, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_523_1662827225.jpg,E23010017,20/1/2023,19/1/2025,"Kampala, Uganda ",Uganda , +256-700-573317 , efadahrecruitment1@gmail.com ,False,HOUSEMAID,./jobs?id=6604,Saudi Arabia,"07 Jan, 2025 - 07 Jan, 2027","Deadline : 11 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6604,housemaid,EFADAH RECRUITMENT (U) LIMITED,Saudi Arabia,SAR 900,Domestic Worker,"To work in a household of the client helping with domestic work such as washing things, cleaning, cooking and looking after children.","To work in a household of the client helping with domestic work such as washing things, cleaning, cooking and looking after children.",07/1/2025,+256-700-573317,Uganda,False,2025-01-07,2027-01-07,SAR,240.0,900.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,730.0,2.0
EFADAH RECRUITMENT (U) LIMITED,https://eemis.mglsd.go.ug/companies/EFADAHRECRUITMENTULIMITED_1641174,40250 KLA,,+256-700-573317,"20 Jan, 2023 - 28 Feb, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_523_1662827225.jpg,E23010017,20/1/2023,28/2/2025,"Kampala, Uganda ",Uganda , +256-700-573317 , efadahrecruitment1@gmail.com ,True,HOUSEMAID,./jobs?id=6604,Saudi Arabia,"07 Jan, 2025 - 07 Jan, 2027","Deadline : 11 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6604,housemaid,EFADAH RECRUITMENT (U) LIMITED,Saudi Arabia,SAR 900,Domestic Worker,"To work in a household of the client helping with domestic work such as washing things, cleaning, cooking and looking after children.","To work in a household of the client helping with domestic work such as washing things, cleaning, cooking and looking after children.",07/1/2025,+256-700-573317,Uganda,False,2025-01-07,2027-01-07,SAR,240.0,900.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,730.0,2.0
EGAD RECRUITMENT  OFFICE,https://eemis.mglsd.go.ug/companies/EGADRECRUITMENTOFFICE_32350104,"Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-503-723611,"Jan 02, 2025 - Jan 01, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_2322_1732984151.jpg,SA25010001,02/1/2025,01/1/2027,"Ar Riyad, Saudi Arabia ",Saudi Arabia , +966-503-723611 , egad.office@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7169626,46.7115929,,
EJARA AL HASSA RECRUITMENT BUREAU,https://eemis.mglsd.go.ug/companies/EjaraAlHassaRecruitmentBureau_27374976,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-560-850008,"29 Nov, 2023 - 29 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2136_1697638834.jpg,SA23110015,29/11/2023,29/11/2025,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-560-850008 , abalnasir@ejara.com.sa ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,23.5681347,50.6793759,,Saudi Arabia,24.7169626,46.7115929,,
