company_name,company_link,company_location_companiespage,company_phone,company_calendar,logo_link,company_name_copg,Licence No :,Start Date :,Expiry Date :,Address :,Phone :,Email :
LEGIT RECRUITMENT CONSULTANTS LTD,https://eemis.mglsd.go.ug/companies/LEGITRECRUITMENTCONSULTANTSLTD_8340246,MUTUNDWE,+256-700-438623,"23 Aug, 2024 - 22 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1179_1652879478.jpeg,LEGIT RECRUITMENT CONSULTANTS LTD,E24080038,23 August 2024,22 August 2026,"(' P.O.BOX 107813 KAMPALA UGANDA', 'Kampala, Uganda ')", +256-700-438623 , legitrecruitmentconsultants@gmail.com 
OZAZ RECRUITMENT SERVICES UGANDA LIMITED,https://eemis.mglsd.go.ug/companies/OZAZRECRUITMENTSERVICESUGANDALIMITED_8269656,MUTESA 1 ROAD,+256-753-520685,"12 May, 2025 - 11 May, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1174_1669291804.png,OZAZ RECRUITMENT SERVICES UGANDA LIMITED,E25050004,12 May 2025,11 May 2027,"(' P.O.BOX 26866 KAMPALA, UGANDA', 'Kampala, Uganda ')", +256-753-520685 , ozazrecruitment@gmail.com 
BUJARA OVERSEAS AGENCY LTD,https://eemis.mglsd.go.ug/companies/BUJARAOVERSEASAGENCYLTD_7405926,KITEBI  MUTUNDWE,+256775233152,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1111_1651218940.jpg,BUJARA OVERSEAS AGENCY LTD,E24080015,08 August 2024,07 August 2026,"(' P.O.BOX 106219 KAMPALA UGANDA', 'Kampala, Uganda ')", +256775233152 , bujaraoverseasagency@gmail.com 
KANAKAR RECRUITMENT AGENCY  LTD,https://eemis.mglsd.go.ug/companies/KANAKARRECRUITMENTAGENCYLTD_7246806,KABUSU GAMOTOKA ROAD,+256-708-040077,"02 Sep, 2024 - 01 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1099_1657093119.jpg,KANAKAR RECRUITMENT AGENCY  LTD,E24090004,02 September 2024,01 September 2026,"(' P.O.BOX 108396  KAMPALA UGANDA', 'Kampala, Uganda ')", +256-708-040077 , kanakarrecruitment@gmail.com 
PIC DIVERSE OPPORTUNITIES LTD,https://eemis.mglsd.go.ug/companies/PICDIVERSEOPPORTUNITIESLTD_6933750,NSAMBYA ESTATE,+256741961161,"06 Mar, 2025 - 05 Mar, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1075_1657018030.jpg,PIC DIVERSE OPPORTUNITIES LTD,E25030004,06 March 2025,05 March 2027,"(' P.O.BOX 105658 KAMPALA UGANDA', 'Kampala, Uganda ')", +256741961161 , diverse.oportunities@gmail.com 
ENVIRON PLUS UGANDA LIMITED,https://eemis.mglsd.go.ug/companies/ENVIRONPLUSUGANDALIMITED_6242400,MUTUNDWE,+256-754-045974,"13 Sep, 2024 - 12 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1020_1658838653.jpg,ENVIRON PLUS UGANDA LIMITED,E24090017,13 September 2024,12 September 2026,"(' P.O.BOX 72632 KAMPALA UGANDA', 'Kampala, Uganda ')", +256-754-045974 , environplus256@gmail.com 
EJM GLOBAL MANPOWER LTD,https://eemis.mglsd.go.ug/companies/EJMGLOBALMANPOWERLTD_6036054,"P.O BOX 800538, Wakiso Uganda",+256-740-000054,"02 Sep, 2024 - 01 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1003_1718193664.jpg,EJM GLOBAL MANPOWER LTD,E24090003,02 September 2024,01 September 2026,"(' P.O BOX 800538, WAKISO UGANDA', 'Wakiso, Uganda ')", +256-740-000054 , info@ejmuganda.com 
ABSHIR COMPANY LTD,https://eemis.mglsd.go.ug/companies/ABSHIRCOMPANYLTD_5964054,3443,+256-752-224210,"02 Sep, 2024 - 01 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_997_1719315031.jpg,ABSHIR COMPANY LTD,E24090002,02 September 2024,01 September 2026,"(' 30515 KAMPALA', 'Kampala, Uganda ')", +256-752-224210 , abshircompanylimited@gmail.com 
LEGACY RECRUITMENT AGENCY  LTD,https://eemis.mglsd.go.ug/companies/LEGACYRECRUITMENTAGENCYLTD_5952096,"KYADONDO BLOCK 220, PLOT 108",+256-704-628120,"19 Jun, 2024 - 18 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_996_1645611640.jpg,LEGACY RECRUITMENT AGENCY  LTD,E24060008,19 June 2024,18 June 2026,"(' P.O Box 104811', 'Kampala, Uganda ')", +256-704-628120 , legacyrecruitmentagencyltd@gmail.com 
LINFORD CONSULTANTS LTD,https://eemis.mglsd.go.ug/companies/LINFORDCONSULTANTSLTD_5762400,NAJJANANKUMBI II,+256756842109,"18 Nov, 2024 - 17 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_980_1654169279.jpg,LINFORD CONSULTANTS LTD,E24110014,18 November 2024,17 November 2026,"(' P.O.BOX 106783 KAMPALA UGANDA', 'Kampala, Uganda ')", +256756842109 , info.linfordconsultantsltd@gmail.com 
DILIGENT OVERSEAS RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/DILIGENTOVERSEASRECRUITMENTAGENCYLTD_5738904,105431 kampala,+256700328938,"06 Dec, 2024 - 05 Dec, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_978_1727378490.jpeg,DILIGENT OVERSEAS RECRUITMENT AGENCY LTD,E24120006,06 December 2024,05 December 2026,"(' P.O Box ', 'Wakiso, Uganda ')", +256700328938 , overseasd9@gmail.com 
ULTIMATE OPTIONS LIMITED,https://eemis.mglsd.go.ug/companies/ULTIMATEOPTIONSLIMITED_5552664,21827 kampala,+256-703-022114,"17 May, 2024 - 16 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_962_1646033636.jpg,ULTIMATE OPTIONS LIMITED,E24050011,17 May 2024,16 May 2026,"(' 21827 Kampala', 'Mukono, Uganda ')", +256-703-022114 , sendugwag@yahoo.com 
VBC POWER PROGRESS LTD,https://eemis.mglsd.go.ug/companies/VBCPOWERPROGRESSLTD_5256576,MAKINDYE KIZUNGU,+256-761-609475,"24 Feb, 2025 - 23 Feb, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_936_1663330160.png,VBC POWER PROGRESS LTD,E25020011,24 February 2025,23 February 2027,"(' P.0.BOX 2142 KAMPALA , UGANDA', 'Kampala, Uganda ')", +256-761-609475 , vbcpowerprogress@gmail.com 
SOVRAN RECRUITMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/SOVRANRECRUITMENTAGENCYLIMITED_5200566,71481 KAMPALA,+256-200-919335,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_931_1651002557.png,SOVRAN RECRUITMENT AGENCY LIMITED,E24080007,08 August 2024,07 August 2026,"(' 71481 CLOCK TOWER KAMPALA', 'Kampala, Uganda ')", +256-200-919335 , eliotainomugisha@yahoo.co.uk 
CARMEL EMPLOYMENT SERVICES (U) LIMITED,https://eemis.mglsd.go.ug/companies/CARMELEMPLOYMENTSERVICESULIMITED_5100504,72476 KAMPALA,+256-752-402777,"22 Jun, 2024 - 21 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_922_1716810984.jpg,CARMEL EMPLOYMENT SERVICES (U) LIMITED,E24060018,22 June 2024,21 June 2026,"(' P.O Box 72476', 'Kampala, Uganda ')", +256-752-402777 , carmelemploymentservices@gmail.com 
ABUU SHAGGAALA COMPANY LIMITED,https://eemis.mglsd.go.ug/companies/ABUUSHAGGAALACOMPANYLIMITED_5056344,"P.O.BOX 111253, Wakiso",+256-704-110429,"24 Jan, 2025 - 23 Jan, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_918_1653326280.jpg,ABUU SHAGGAALA COMPANY LIMITED,E25010013,24 January 2025,23 January 2027,"(' P.O Box 111253', 'Wakiso, Uganda ')", +256-704-110429 , abushaggalacoltd21@gmail.com 
ALMALAK LASSY RECRUITMENT CONSULT LTD,https://eemis.mglsd.go.ug/companies/ALMALAKLASSYRECRUITMENTCONSULTLTD_4881624,"East African Road, Kyambogo, Kampala Uganda.",+256-782-986543,"11 Feb, 2025 - 10 Feb, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_902_1659631679.jpg,ALMALAK LASSY RECRUITMENT CONSULT LTD,E25020002,11 February 2025,10 February 2027,"(' P.O Box ', 'Kampala, Uganda ')", +256-782-986543 , jobs@almalakug.com 
AL-MASHYU COMPANY LIMITED,https://eemis.mglsd.go.ug/companies/AL-MASHYUCOMPANYLIMITED_4667544,+256774341610,+256-704-341610,"28 Oct, 2024 - 27 Oct, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_882_1651239196.png,AL-MASHYU COMPANY LIMITED,E24100015,28 October 2024,27 October 2026,"(' P.O. Box 104835', 'Kampala, Uganda ')", +256-704-341610 , hassan.rashid44@gmail.com 
MKR CONSULT LTD,https://eemis.mglsd.go.ug/companies/MKRCONSULTLTD_4520544,+256772848525,+256-039-356375,"23 Aug, 2024 - 22 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_868_1651660366.jpeg,MKR CONSULT LTD,E24080035,23 August 2024,22 August 2026,"(' P.O Box 107997', 'Kampala, Uganda ')", +256-039-356375 , mkrconsultltd56@gmail.com 
AVANT SECURITY LIMITED,https://eemis.mglsd.go.ug/companies/AVANTSECURITYLIMITED_4510134,+256200953565,+256-200-953565,"18 Nov, 2024 - 17 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_867_1727448785.jpg,AVANT SECURITY LIMITED,E24110016,18 November 2024,17 November 2026,"(' P.O BOX 2213', 'Kampala, Uganda ')", +256-200-953565 , avantsecurit@gmail.com 
VIANNY RECRUITMENT LTD,https://eemis.mglsd.go.ug/companies/VIANNYRECRUITMENTLTD_4447926,NATETE,+256-756-578626,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_861_1653548547.jpg,VIANNY RECRUITMENT LTD,E24080014,08 August 2024,07 August 2026,"(' P.O.BOX 104864 KAMPALA .UGANDA', 'Kampala, Uganda ')", +256-756-578626 , viannyrecruitmentltd@gmail.com 
MILLENIUM LINK LTD,https://eemis.mglsd.go.ug/companies/MILLENIUMLINKLTD_4345206,WAKALIGA RUBAGA DIVISION,+256703427797,"02 Jul, 2024 - 01 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_851_1651648799.png,MILLENIUM LINK LTD,E24070001,02 July 2024,01 July 2026,"(' P.O BOX 104606 KAMPALA UGANDA', 'Kampala, Uganda ')", +256703427797 , milleniumlink196@gmail.com 
CORPORATE RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/CORPORATERECRUITMENTAGENCYLTD_4314624,+256778474851,+256-705-095415,"24 Jan, 2025 - 23 Jan, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_848_1729500373.jpg,CORPORATE RECRUITMENT AGENCY LTD,E25010015,24 January 2025,23 January 2027,"(' P.O Box 698', 'Kampala, Uganda ')", +256-705-095415 , corp.recruitagency@gmail.com 
SMILE JOBS CONSULTANTS LTD,https://eemis.mglsd.go.ug/companies/SMILEJOBSCONSULTANTSLTD_4304454,BUSEGA,+256782868614,"29 Apr, 2024 - 28 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_847_1648120952.jpeg,SMILE JOBS CONSULTANTS LTD,E24040020,29 April 2024,28 April 2026,"(' P.O.BOX 104841 KAMPALA UGANDA', 'Kampala, Uganda ')", +256782868614 , smilejobsconsultants@gmail.com 
CAPACITY LABOUR AGENCY LTD,https://eemis.mglsd.go.ug/companies/CAPACITYLABOURAGENCYLTD_4253784,KISASI,+256-700-436695,"23 Sep, 2024 - 22 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_842_1652946837.jpg,CAPACITY LABOUR AGENCY LTD,E24090028,23 September 2024,22 September 2026,"(' P.O.BOX 22952KAMPALA UGANDA', 'Kampala, Uganda ')", +256-700-436695 , capacitylabouragencyltd@gmail.com 
PRESTIGE LINK LTD,https://eemis.mglsd.go.ug/companies/PRESTIGELINKLTD_4223526,NTINDA PRESTIGE LINK LTD,+256-704-437662,"29 Apr, 2024 - 28 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_839_1711482141.jpg,PRESTIGE LINK LTD,E24040012,29 April 2024,28 April 2026,"(' 9030 KAMPALA', 'Kampala, Uganda ')", +256-704-437662 , prestigelink01@gmail.com 
KRYSTAL RECRUITERS (U) LTD,https://eemis.mglsd.go.ug/companies/KRYSTALRECRUITERSULTD_4183350,34600 KAMPALA,+256-773-128543,"25 Jul, 2024 - 24 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_835_1650373676.jpg,KRYSTAL RECRUITERS (U) LTD,E24070018,25 July 2024,24 July 2026,"(' 34600, Kampala', 'Kampala, Uganda ')", +256-773-128543 , krystalrecruitersuganda@gmail.com 
ABYAN INTERNATIONAL (U) LTD,https://eemis.mglsd.go.ug/companies/ABYANINTERNATIONALULTD_3393024,"108118,KONGE MAKINDYE, KAMPALA",0709468979,"31 May, 2024 - 30 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_752_1710753666.jpg,ABYAN INTERNATIONAL (U) LTD,E24050032,31 May 2024,30 May 2026,"(' 108118,KAMPALA', 'Kampala, Uganda ')", 0709468979 , abyaninternational256@gmail.com 
EFADAH RECRUITMENT (U) LIMITED,https://eemis.mglsd.go.ug/companies/EFADAHRECRUITMENTULIMITED_1641174,40250 KLA,+256-700-573317,"06 Mar, 2025 - 05 Mar, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_523_1662827225.jpg,EFADAH RECRUITMENT (U) LIMITED,E25030002,06 March 2025,05 March 2027,"(' P.O Box 40250 KLA', 'Kampala, Uganda ')", +256-700-573317 , efadahrecruitment1@gmail.com 
RACLE JOB CONSULTANTS LTD,https://eemis.mglsd.go.ug/companies/RACLEJOBCONSULTANTSLTD_1634904,"102422,KAMPALA",+256-708-207730,"25 Mar, 2025 - 24 Mar, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_522_1656598834.jpeg,RACLE JOB CONSULTANTS LTD,E25030016,25 March 2025,24 March 2027,"(' 14336, KAMPALA', 'Kampala, Uganda ')", +256-708-207730 , raclejobs@gmail.com 
GOPRO UGANDA LIMITED,https://eemis.mglsd.go.ug/companies/GOPROUGANDALIMITED_1622400,32211 KAMPALA,+256-772-461569,"02 Sep, 2024 - 01 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/placeholder.jpg,GOPRO UGANDA LIMITED,E24090005,02 September 2024,01 September 2026,"(' P.O Box 32211', 'Kampala, Uganda ')", +256-772-461569 , gopro.u.ltd@gmail.com 
MAWARID RECRUITMENT LIMITED,https://eemis.mglsd.go.ug/companies/MAWARIDRECRUITMENTLIMITED_1603734,"Nansana, Opposite Africa Oil Petrol Station",+256-774-090712,"12 May, 2025 - 11 May, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_517_1660646035.png,MAWARID RECRUITMENT LIMITED,E25050005,12 May 2025,11 May 2027,"(' P.O Box 110750', 'Wakiso, Uganda ')", +256-774-090712 , kabaphanta@gmail.com 
JABRAN INTERNATIONAL RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/JABRANINTERNATIONALRECRUITMENTAGENCYLTD_1597536,"Lowe Nsooba, Mulago III, Kawempe Div, P.O BOX 40250, Kampala-UG",+256-200-906487,"18 Nov, 2024 - 17 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_516_1645356787.jpg,JABRAN INTERNATIONAL RECRUITMENT AGENCY LTD,E24110024,18 November 2024,17 November 2026,"(' P.O Box 40250', 'Kampala, Uganda ')", +256-200-906487 , jabraninternationalrecrutment@gmail.com 
EMRAJ UGANDA LIMITED,https://eemis.mglsd.go.ug/companies/EMRAJUGANDALIMITED_1572864,"P.O BOX 101526, KAMPALA",+256-775-580602,"26 Jun, 2024 - 25 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_512_1647165097.png,EMRAJ UGANDA LIMITED,E24060019,26 June 2024,25 June 2026,"(' 101526, KAMPALA', 'Kampala, Uganda ')", +256-775-580602 , admin@emraj.com 
LEAVEN HOLDINGS LTD,https://eemis.mglsd.go.ug/companies/LEAVENHOLDINGSLTD_1524096,"11402, KAMPALA",+256-703-014091,"04 Jul, 2025 - 03 Jul, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_504_1652705399.jpg,LEAVEN HOLDINGS LTD,E25070007,04 July 2025,03 July 2027,"(' 30889, Kampala', 'Kampala, Uganda ')", +256-703-014091 , leavenholdings1@gmail.com 
FAVOUR RECRUITMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/FAVOURRECRUITMENTAGENCYLIMITED_1494006,44B,+256-751-362069,"14 Oct, 2024 - 13 Oct, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_499_1659701973.png,FAVOUR RECRUITMENT AGENCY LIMITED,E24100002,14 October 2024,13 October 2026,"(' 110745 KAMPALA', 'Kampala, Uganda ')", +256-751-362069 , aka4shan@gmail.com 
JADUWA ENTERPRISES LTD,https://eemis.mglsd.go.ug/companies/JADUWAENTERPRISESLTD_1470150,0000403329,+256-753-756520,"31 May, 2024 - 30 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_495_1647860132.png,JADUWA ENTERPRISES LTD,E24050038,31 May 2024,30 May 2026,"(' P.O Box 100729', 'Kampala, Uganda ')", +256-753-756520 , jaduwaug@gmail.com 
JIMMY LINES INTERNATIONAL SMC LTD,https://eemis.mglsd.go.ug/companies/JIMMYLINESINTERNATIONALSMCLTD_1458294,KIREKA B,+256-701-269162,"24 Jan, 2025 - 23 Jan, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_493_1730964771.jpg,JIMMY LINES INTERNATIONAL SMC LTD,E25010016,24 January 2025,23 January 2027,"(' P.O Box 884', 'Wakiso, Uganda ')", +256-701-269162 , jimmylines161@gmail.com 
REMATRA INTERNATIONAL SERVICES LTD,https://eemis.mglsd.go.ug/companies/REMATRAINTERNATIONALSERVICESLTD_1452384,NATETE MACKAY ROAD OPPOSITE MACKAY COLLEGE SCHOOL,+256-705-748472,"31 May, 2024 - 30 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_492_1647414591.jpg,REMATRA INTERNATIONAL SERVICES LTD,E24050037,31 May 2024,30 May 2026,"(' P.O.BOX 104562 KAMPALA UGANDA', 'Kampala, Uganda ')", +256-705-748472 , rematrainternationalugandaltd@gmail.com 
MOTUS GURUS CONSULTANTS LIMITED,https://eemis.mglsd.go.ug/companies/MOTUSGURUSCONSULTANTSLIMITED_1446486,"RUBAGA, NEAR CENTENARY BANK",+256750760944,"31 May, 2024 - 30 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_491_1646900419.png,MOTUS GURUS CONSULTANTS LIMITED,E24050034,31 May 2024,30 May 2026,"(' P.O.BOX 128893 KAMPALA. UGANDA', 'Kampala, Uganda ')", +256750760944 , motusgurusconsultants@gmail.com 
GATE RECRUIT GLOBAL SOLUTIONS LTD,https://eemis.mglsd.go.ug/companies/GATERECRUITGLOBALSOLUTIONSLTD_1388166,Plot 1688 Kaduyu Lane,+256-702-313062,"21 Oct, 2025 - 20 Oct, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_481_1757057357.jpeg,GATE RECRUIT GLOBAL SOLUTIONS LTD,E25100007,21 October 2025,20 October 2027,"(' 103158, Kampala, Uganda', 'Kampala, Uganda ')", +256-702-313062 , gateglobalsolutions@gmail.com 
GAYA BAIRNS LTD,https://eemis.mglsd.go.ug/companies/GAYABAIRNSLTD_1382400,NTINDA - KAMPALA,+256-782-123123,"29 Apr, 2024 - 28 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_480_1649193736.jpeg,GAYA BAIRNS LTD,E24040014,29 April 2024,28 April 2026,"(' P.O.BOX 73689 KAMPALA', 'Kampala, Uganda ')", +256-782-123123 , gayabairns@gmail.com 
GHANIYU-MUGHNIYU LIMITED,https://eemis.mglsd.go.ug/companies/Ghaniyu-MughniyuLimited_1376646,Plot 570,+256-741-480000,"04 Nov, 2024 - 03 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_479_1653150830.jpg,GHANIYU-MUGHNIYU LIMITED,E24110004,04 November 2024,03 November 2026,"(' P.O Box 167855', 'Kampala, Uganda ')", +256-741-480000 , ghaniyumughniyu@gmail.com 
TERRYSOME INVESTMENTS LIMITED,https://eemis.mglsd.go.ug/companies/TERRYSOMEINVESTMENTSLIMITED_1365174,BALINTUMA ROAD,+256-706-496674,"29 Apr, 2024 - 28 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_477_1645457505.jpeg,TERRYSOME INVESTMENTS LIMITED,E24040019,29 April 2024,28 April 2026,"(' P.O.BOX 25897 KAMPALA UGANDA', 'Kampala, Uganda ')", +256-706-496674 , terrysomeltd@gmail.com 
WAMBAH HOLDINGS LTD,https://eemis.mglsd.go.ug/companies/WAMBAHHOLDINGSLTD_1359456,"PLOT 130,  SEMAWATA ROAD, NTINDA",+256-705-617682,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_476_1647332182.jpg,WAMBAH HOLDINGS LTD,E24080010,08 August 2024,07 August 2026,"(' P.O Box 30972', 'Kampala, Uganda ')", +256-705-617682 , wambaholdingslimited27@gmail.com 
SKILLS ALLIANCE RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/SKILLSALLIANCERECRUITMENTAGENCYLTD_1325400,0771207387,+256-709-453460,"26 Jul, 2025 - 25 Jul, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_470_1653977238.jpg,SKILLS ALLIANCE RECRUITMENT AGENCY LTD,E25070018,26 July 2025,25 July 2027,"(' P.O Box 71668', 'Wakiso, Uganda ')", +256-709-453460 , skillsalliancerec@gmail.com 
AL SHOUSH CONSULTANTS LTD,https://eemis.mglsd.go.ug/companies/ALSHOUSHCONSULTANTSLTD_1319766,+256-709-753829,+256-709-753829,"25 Mar, 2025 - 24 Mar, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_469_1656412080.jpeg,AL SHOUSH CONSULTANTS LTD,E25030011,25 March 2025,24 March 2027,"(' P.O.BOX 100913', 'Wakiso, Uganda ')", +256-709-753829 , alshoushconsultants@gmail.com 
FOCUS EMPLOYMENT LINKAGES LIMITED,https://eemis.mglsd.go.ug/companies/FOCUSEMPLOYMENTLINKAGESLIMITED_1297350,0786404942,+256-786-404942,"07 Aug, 2025 - 06 Aug, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_465_1650409203.jpg,FOCUS EMPLOYMENT LINKAGES LIMITED,E25080006,07 August 2025,06 August 2027,"(' P.O Box 26701', 'Kampala, Uganda ')", +256-786-404942 , focusemployement100@gmail.com 
MOLDEN INTERNATIONAL LABOUR CONSULTANTS LTD,https://eemis.mglsd.go.ug/companies/MOLDENINTERNATIONALLABOURCONSULTANTSLTD_1280664,NAMUNGOONA,+2560414673718,"24 Jan, 2025 - 23 Jan, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_462_1658913570.jpg,MOLDEN INTERNATIONAL LABOUR CONSULTANTS LTD,E25010014,24 January 2025,23 January 2027,"(' P.O.BOX 31536 KAMPALA UGANDA', 'Kampala, Uganda ')", +2560414673718 , Moldeninternationalconsultants@gmail.com 
WORKFORCE LOGISTICS AND CONSULTANTS LTD,https://eemis.mglsd.go.ug/companies/WORKFORCELOGISTICSANDCONSULTANTSLTD_1264086,"NTINDA TOWN,",+256-772-410547,"19 Jun, 2024 - 18 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_459_1710138082.jpg,WORKFORCE LOGISTICS AND CONSULTANTS LTD,E24060013,19 June 2024,18 June 2026,"(' P.O Box 111211 WAKISO', 'Kampala, Uganda ')", +256-772-410547 , workforcelogistics@yahoo.com 
POTENTIAL RECRUITMENT LTD,https://eemis.mglsd.go.ug/companies/POTENTIALRECRUITMENTLTD_1231254,+256700656876,+256-700-656876,"19 Jun, 2024 - 18 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_453_1646209046.jpg,POTENTIAL RECRUITMENT LTD,E24060007,19 June 2024,18 June 2026,"(' P.O Box 30382', 'Kampala, Uganda ')", +256-700-656876 , info@potentialrecruitment.co.ug 
TENNET RECRUITMENT LTD,https://eemis.mglsd.go.ug/companies/TENNETRECRUITMENTLTD_1182816,OLD KIRA NTINDA KISASI ROAD,+256-773-167318,"19 Jun, 2024 - 18 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_444_1637830110.jpg,TENNET RECRUITMENT LTD,E24060012,19 June 2024,18 June 2026,"(' P.O.BOX 801241', 'Kampala, Uganda ')", +256-773-167318 , benoir90@gmail.com 
PROSTAFFING UGANDA LTD,https://eemis.mglsd.go.ug/companies/PROSTAFFINGUGANDALTD_1177494,NSAMBYA,+256774170057,"02 Jul, 2024 - 01 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_443_1715340598.jpeg,PROSTAFFING UGANDA LTD,E24070003,02 July 2024,01 July 2026,"(' P.O Box. 102013', 'Kampala, Uganda ')", +256774170057 , prostaffingug@gmail.com 
INVE TRACK CONSTRUCTION AND ENGINEERING LIMITED,https://eemis.mglsd.go.ug/companies/INVETRACKCONSTRUCTIONANDENGINEERINGLIMITED_1156326,MENGO,+256701477008,"23 Sep, 2024 - 22 Sep, 2026",,,,,,,,
HRM SERVICES LIMITED,https://eemis.mglsd.go.ug/companies/HRMSERVICESLIMITED_1145814,150432 KAMPALA,+256-752-755846,"23 Aug, 2024 - 22 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_437_1654001702.jpg,HRM SERVICES LIMITED,E24080041,23 August 2024,22 August 2026,"(' PO BOX 150432 KAMPALA', 'Kampala, Uganda ')", +256-752-755846 , hrmservicesltd@gmail.com 
ROYAL CHARIOT AGENCIES U LTD,https://eemis.mglsd.go.ug/companies/ROYALCHARIOTAGENCIESULTD_1140576,PLOT 3 MUTUNGO BIINA ROAD BUTABIKA,+256-752-605895,"23 Sep, 2024 - 22 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_436_1648459904.jpg,ROYAL CHARIOT AGENCIES U LTD,E24090023,23 September 2024,22 September 2026,"(' P.O Box ', 'Kampala, Uganda ')", +256-752-605895 , royalchariotrecruitment@gmail.com 
KASTOP INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/KASTOPINTERNATIONALLIMITED_1109400,"MAKERERE, KAVULE",+256-755-909979,"02 Jul, 2024 - 01 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_430_1651061749.jpeg,KASTOP INTERNATIONAL LIMITED,E24070002,02 July 2024,01 July 2026,"(' 8282 KAMPALA', 'Kampala, Uganda ')", +256-755-909979 , kasenbad@gmail.com 
FILRA LIMITED,https://eemis.mglsd.go.ug/companies/FILRALIMITED_1058400,16689 KAMPALA,+256-751-779985,"19 Jun, 2024 - 18 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_420_1647601251.jpg,FILRA LIMITED,E24060006,19 June 2024,18 June 2026,"(' P.O BOX 16689 - KAMPALA.', 'Kampala, Uganda ')", +256-751-779985 , www.filralimited@gmail.com 
